"","gender","province","education","age","vote","age_factor","vote_liberal","vote_conservative","vote_ndp"
"83","Female","Saskatchewan","Highschool",63,"Conservative Party","61-80",0,1,0
"84","Male","Quebec","Bachelor's Degree",44,"Conservative Party","41-60",0,1,0
"85","Male","British Columbia","Bachelor's Degree",65,"Liberal Party","61-80",1,0,0
"86","Male","Quebec","Highschool",41,"Green Party","41-60",0,0,0
"87","Male","Ontario","Bachelor's Degree",62,"Conservative Party","61-80",0,1,0
"88","Male","Alberta","Bachelor's Degree",42,"Liberal Party","41-60",1,0,0
"89","Male","Ontario","Bachelor's Degree",32,"Liberal Party","21-40",1,0,0
"90","Male","Ontario","Bachelor's Degree",59,"Liberal Party","41-60",1,0,0
"91","Male","Ontario","College",34,"Liberal Party","21-40",1,0,0
"92","Female","British Columbia","Bachelor's Degree",67,"Liberal Party","61-80",1,0,0
"93","Female","British Columbia","Above Bachelor's",66,"Other Party","61-80",0,0,0
"94","Male","Quebec","Above Bachelor's",67,"Bloc Quebecois","61-80",0,0,0
"95","Male","Ontario","Highschool",37,"Green Party","21-40",0,0,0
"96","Male","Ontario","Bachelor's Degree",47,"Conservative Party","41-60",0,1,0
"97","Female","Ontario","Bachelor's Degree",68,"NDP","61-80",0,0,1
"98","Female","Alberta","College",63,"Other Party","61-80",0,0,0
"99","Male","Ontario","Bachelor's Degree",30,"Liberal Party","21-40",1,0,0
"100","Male","Quebec","Highschool",59,"Conservative Party","41-60",0,1,0
"101","Female","British Columbia","Bachelor's Degree",61,"Green Party","61-80",0,0,0
"102","Female","Quebec","College",31,"NDP","21-40",0,0,1
"103","Female","Ontario","Highschool",65,"Liberal Party","61-80",1,0,0
"104","Female","Alberta","College",47,"Conservative Party","41-60",0,1,0
"105","Female","Manitoba","Bachelor's Degree",64,"Liberal Party","61-80",1,0,0
"106","Female","Ontario","Bachelor's Degree",69,"NDP","61-80",0,0,1
"107","Female","Newfoundland and Labrador","College",64,"Conservative Party","61-80",0,1,0
"108","Male","Alberta","Above Bachelor's",49,"Liberal Party","41-60",1,0,0
"109","Male","Saskatchewan","College",65,"Liberal Party","61-80",1,0,0
"110","Female","Quebec","College",76,"Liberal Party","61-80",1,0,0
"111","Male","Quebec","Bachelor's Degree",55,"Conservative Party","41-60",0,1,0
"112","Male","British Columbia","Highschool",56,"Other Party","41-60",0,0,0
"113","Male","Saskatchewan","Bachelor's Degree",63,"Conservative Party","61-80",0,1,0
"114","Female","Ontario","Bachelor's Degree",46,"Other Party","41-60",0,0,0
"115","Male","Nova Scotia","Bachelor's Degree",69,"Other Party","61-80",0,0,0
"116","Female","Ontario","Above Bachelor's",38,"Conservative Party","21-40",0,1,0
"117","Male","Prince Edward Island","College",57,"Green Party","41-60",0,0,0
"118","Male","British Columbia","Highschool",68,"Conservative Party","61-80",0,1,0
"119","Male","Alberta","Bachelor's Degree",67,"Conservative Party","61-80",0,1,0
"120","Male","Quebec","Above Bachelor's",59,"Conservative Party","41-60",0,1,0
"121","Male","Ontario","Bachelor's Degree",28,"Liberal Party","21-40",1,0,0
"122","Male","Ontario","Bachelor's Degree",63,"Liberal Party","61-80",1,0,0
"123","Male","Alberta","Bachelor's Degree",61,"Conservative Party","61-80",0,1,0
"124","Female","Quebec","Bachelor's Degree",29,"Conservative Party","21-40",0,1,0
"125","Male","Ontario","Bachelor's Degree",73,"Conservative Party","61-80",0,1,0
"126","Female","Ontario","Less than highschool",69,"Conservative Party","61-80",0,1,0
"127","Male","Ontario","Bachelor's Degree",67,"Other Party","61-80",0,0,0
"128","Female","Quebec","Highschool",76,"Other Party","61-80",0,0,0
"129","Female","Quebec","College",49,"Liberal Party","41-60",1,0,0
"130","Female","Ontario","Highschool",62,"Conservative Party","61-80",0,1,0
"131","Male","Nova Scotia","Above Bachelor's",47,"Conservative Party","41-60",0,1,0
"132","Female","Ontario","Bachelor's Degree",54,"Liberal Party","41-60",1,0,0
"133","Female","Quebec","Highschool",55,"Green Party","41-60",0,0,0
"134","Female","Ontario","Less than highschool",58,"Green Party","41-60",0,0,0
"135","Female","Manitoba","College",41,"Liberal Party","41-60",1,0,0
"136","Male","Quebec","Above Bachelor's",54,"Bloc Quebecois","41-60",0,0,0
"137","Female","Alberta","Bachelor's Degree",34,"Conservative Party","21-40",0,1,0
"138","Female","British Columbia","Highschool",66,"Conservative Party","61-80",0,1,0
"139","Female","Quebec","Highschool",48,"Liberal Party","41-60",1,0,0
"140","Male","British Columbia","Above Bachelor's",68,"Liberal Party","61-80",1,0,0
"141","Female","Ontario","Highschool",53,"Liberal Party","41-60",1,0,0
"142","Male","Nova Scotia","Bachelor's Degree",68,"Liberal Party","61-80",1,0,0
"143","Female","Quebec","Highschool",65,"Liberal Party","61-80",1,0,0
"144","Female","Quebec","Bachelor's Degree",28,"Liberal Party","21-40",1,0,0
"145","Female","Manitoba","College",40,"Green Party","21-40",0,0,0
"146","Female","Quebec","Bachelor's Degree",28,"Other Party","21-40",0,0,0
"147","Male","Ontario","Highschool",69,"Green Party","61-80",0,0,0
"148","Female","Ontario","College",35,"Liberal Party","21-40",1,0,0
"149","Male","New Brunswick","Bachelor's Degree",34,"Liberal Party","21-40",1,0,0
"150","Male","Alberta","Bachelor's Degree",56,"Conservative Party","41-60",0,1,0
"151","Female","Ontario","Bachelor's Degree",28,"Conservative Party","21-40",0,1,0
"152","Female","Quebec","Highschool",68,"Liberal Party","61-80",1,0,0
"153","Male","Ontario","College",50,"Green Party","41-60",0,0,0
"154","Female","Ontario","Bachelor's Degree",39,"Conservative Party","21-40",0,1,0
"155","Male","Alberta","Bachelor's Degree",61,"Liberal Party","61-80",1,0,0
"156","Male","Ontario","Bachelor's Degree",74,"Liberal Party","61-80",1,0,0
"157","Male","Manitoba","Highschool",54,"Conservative Party","41-60",0,1,0
"158","Male","Manitoba","Above Bachelor's",40,"Liberal Party","21-40",1,0,0
"159","Female","Manitoba","Highschool",60,"Conservative Party","41-60",0,1,0
"160","Female","British Columbia","Above Bachelor's",54,"Liberal Party","41-60",1,0,0
"161","Female","Quebec","Highschool",46,"Other Party","41-60",0,0,0
"162","Female","Quebec","Highschool",60,"Other Party","41-60",0,0,0
"163","Male","Quebec","College",59,"Conservative Party","41-60",0,1,0
"164","Male","Ontario","Highschool",63,"Other Party","61-80",0,0,0
"165","Male","Ontario","Bachelor's Degree",67,"Conservative Party","61-80",0,1,0
"166","Male","Ontario","Bachelor's Degree",51,"Conservative Party","41-60",0,1,0
"167","Male","Ontario","Highschool",72,"NDP","61-80",0,0,1
"168","Female","Quebec","Highschool",56,"Conservative Party","41-60",0,1,0
"169","Female","Saskatchewan","Highschool",37,"Other Party","21-40",0,0,0
"170","Female","Quebec","Above Bachelor's",60,"Liberal Party","41-60",1,0,0
"171","Male","Ontario","Above Bachelor's",81,"Conservative Party","81+",0,1,0
"172","Male","Ontario","Above Bachelor's",63,"NDP","61-80",0,0,1
"173","Female","Ontario","College",39,"Other Party","21-40",0,0,0
"174","Male","Ontario","Bachelor's Degree",63,"Conservative Party","61-80",0,1,0
"175","Female","Ontario","Above Bachelor's",61,"Other Party","61-80",0,0,0
"176","Male","Ontario","College",65,"Conservative Party","61-80",0,1,0
"177","Female","Quebec","College",72,"Conservative Party","61-80",0,1,0
"178","Female","Ontario","Bachelor's Degree",99,"Other Party","81+",0,0,0
"179","Male","Ontario","Less than highschool",81,"Conservative Party","81+",0,1,0
"180","Male","Ontario","Bachelor's Degree",37,"Conservative Party","21-40",0,1,0
"181","Male","Nova Scotia","Highschool",52,"Green Party","41-60",0,0,0
"182","Male","Alberta","Above Bachelor's",55,"Other Party","41-60",0,0,0
"183","Female","Ontario","Bachelor's Degree",49,"Liberal Party","41-60",1,0,0
"184","Male","Ontario","Bachelor's Degree",81,"Conservative Party","81+",0,1,0
"185","Male","Ontario","Other",66,"NDP","61-80",0,0,1
"186","Male","Ontario","Bachelor's Degree",73,"Liberal Party","61-80",1,0,0
"187","Female","Quebec","Highschool",30,"Other Party","21-40",0,0,0
"188","Female","Ontario","Bachelor's Degree",53,"Conservative Party","41-60",0,1,0
"189","Male","Ontario","Highschool",57,"Other Party","41-60",0,0,0
"190","Male","Ontario","Above Bachelor's",84,"Other Party","81+",0,0,0
"191","Male","Ontario","Highschool",69,"Other Party","61-80",0,0,0
"192","Male","Ontario","College",80,"Conservative Party","61-80",0,1,0
"193","Male","Ontario","Bachelor's Degree",25,"Liberal Party","21-40",1,0,0
"194","Male","Ontario","Bachelor's Degree",36,"Liberal Party","21-40",1,0,0
"195","Female","Ontario","Highschool",60,"Conservative Party","41-60",0,1,0
"196","Male","Ontario","Above Bachelor's",69,"Other Party","61-80",0,0,0
"197","Female","Ontario","Bachelor's Degree",58,"Conservative Party","41-60",0,1,0
"198","Female","Ontario","Bachelor's Degree",49,"Green Party","41-60",0,0,0
"199","Male","Quebec","Bachelor's Degree",63,"Liberal Party","61-80",1,0,0
"200","Female","Ontario","Highschool",19,"Liberal Party","0-20",1,0,0
"201","Female","Ontario","Bachelor's Degree",26,"Green Party","21-40",0,0,0
"202","Male","Quebec","Highschool",64,"Conservative Party","61-80",0,1,0
"203","Male","Ontario","Bachelor's Degree",62,"Conservative Party","61-80",0,1,0
"204","Male","New Brunswick","Bachelor's Degree",57,"Other Party","41-60",0,0,0
"205","Female","Quebec","Highschool",65,"Bloc Quebecois","61-80",0,0,0
"206","Male","Ontario","College",66,"Liberal Party","61-80",1,0,0
"207","Female","Ontario","College",60,"Liberal Party","41-60",1,0,0
"208","Male","Ontario","Bachelor's Degree",43,"NDP","41-60",0,0,1
"209","Male","Quebec","College",63,"Other Party","61-80",0,0,0
"210","Male","Nova Scotia","College",58,"NDP","41-60",0,0,1
"211","Male","Quebec","Bachelor's Degree",55,"Conservative Party","41-60",0,1,0
"212","Female","Quebec","Highschool",58,"Other Party","41-60",0,0,0
"213","Male","Ontario","College",74,"Liberal Party","61-80",1,0,0
"214","Male","Ontario","Highschool",42,"NDP","41-60",0,0,1
"215","Male","Ontario","Highschool",56,"NDP","41-60",0,0,1
"216","Female","Ontario","Highschool",36,"Green Party","21-40",0,0,0
"217","Male","Ontario","Above Bachelor's",73,"Conservative Party","61-80",0,1,0
"218","Female","Quebec","Less than highschool",42,"Liberal Party","41-60",1,0,0
"219","Male","Ontario","Highschool",36,"Liberal Party","21-40",1,0,0
"220","Female","Ontario","Bachelor's Degree",50,"Conservative Party","41-60",0,1,0
"221","Male","Quebec","College",73,"Bloc Quebecois","61-80",0,0,0
"222","Female","Ontario","Above Bachelor's",40,"Other Party","21-40",0,0,0
"223","Male","Ontario","Above Bachelor's",82,"Liberal Party","81+",1,0,0
"224","Male","Ontario","Above Bachelor's",80,"Other Party","61-80",0,0,0
"225","Male","Ontario","Highschool",55,"Green Party","41-60",0,0,0
"226","Female","Ontario","Above Bachelor's",71,"NDP","61-80",0,0,1
"227","Male","Ontario","Bachelor's Degree",42,"Liberal Party","41-60",1,0,0
"228","Male","Alberta","Bachelor's Degree",32,"Conservative Party","21-40",0,1,0
"229","Female","Ontario","College",77,"Green Party","61-80",0,0,0
"230","Male","Quebec","Bachelor's Degree",57,"Bloc Quebecois","41-60",0,0,0
"231","Male","Ontario","Bachelor's Degree",56,"Liberal Party","41-60",1,0,0
"232","Male","Ontario","Bachelor's Degree",60,"Liberal Party","41-60",1,0,0
"233","Male","Newfoundland and Labrador","Bachelor's Degree",64,"Conservative Party","61-80",0,1,0
"234","Female","Quebec","Highschool",23,"Green Party","21-40",0,0,0
"235","Female","Ontario","Less than highschool",68,"Other Party","61-80",0,0,0
"236","Male","Ontario","Above Bachelor's",28,"Liberal Party","21-40",1,0,0
"237","Male","Ontario","Bachelor's Degree",72,"Liberal Party","61-80",1,0,0
"238","Female","Quebec","Highschool",64,"Other Party","61-80",0,0,0
"239","Female","Ontario","Above Bachelor's",40,"Conservative Party","21-40",0,1,0
"240","Female","Ontario","Above Bachelor's",78,"Liberal Party","61-80",1,0,0
"241","Male","Quebec","Bachelor's Degree",29,"Green Party","21-40",0,0,0
"242","Male","Quebec","Highschool",59,"Conservative Party","41-60",0,1,0
"243","Male","Ontario","Bachelor's Degree",39,"Conservative Party","21-40",0,1,0
"244","Female","British Columbia","Bachelor's Degree",45,"Liberal Party","41-60",1,0,0
"245","Female","British Columbia","College",33,"Green Party","21-40",0,0,0
"246","Female","Quebec","Bachelor's Degree",47,"Conservative Party","41-60",0,1,0
"247","Female","New Brunswick","Highschool",68,"Conservative Party","61-80",0,1,0
"248","Female","Quebec","Bachelor's Degree",35,"Other Party","21-40",0,0,0
"249","Male","Ontario","College",70,"NDP","61-80",0,0,1
"250","Male","Ontario","Highschool",43,"Conservative Party","41-60",0,1,0
"251","Female","Quebec","Bachelor's Degree",62,"Conservative Party","61-80",0,1,0
"252","Male","Ontario","Highschool",41,"NDP","41-60",0,0,1
"253","Female","Ontario","Highschool",68,"Liberal Party","61-80",1,0,0
"254","Female","Quebec","Bachelor's Degree",62,"Conservative Party","61-80",0,1,0
"255","Female","Ontario","Highschool",33,"Liberal Party","21-40",1,0,0
"256","Male","Quebec","Highschool",35,"NDP","21-40",0,0,1
"257","Male","New Brunswick","College",79,"Conservative Party","61-80",0,1,0
"258","Male","Prince Edward Island","Highschool",34,"Conservative Party","21-40",0,1,0
"259","Male","Ontario","Above Bachelor's",47,"Liberal Party","41-60",1,0,0
"260","Female","Quebec","Highschool",74,"Bloc Quebecois","61-80",0,0,0
"261","Male","Ontario","Bachelor's Degree",46,"Conservative Party","41-60",0,1,0
"262","Female","Quebec","Above Bachelor's",47,"Green Party","41-60",0,0,0
"263","Male","Alberta","Less than highschool",36,"Liberal Party","21-40",1,0,0
"264","Female","Ontario","Above Bachelor's",30,"Liberal Party","21-40",1,0,0
"265","Female","Ontario","Above Bachelor's",52,"Liberal Party","41-60",1,0,0
"266","Female","Ontario","Highschool",74,"Conservative Party","61-80",0,1,0
"267","Male","Ontario","Bachelor's Degree",71,"Liberal Party","61-80",1,0,0
"268","Female","Quebec","Bachelor's Degree",68,"Other Party","61-80",0,0,0
"269","Female","Quebec","Bachelor's Degree",48,"Bloc Quebecois","41-60",0,0,0
"270","Female","Ontario","Bachelor's Degree",75,"Other Party","61-80",0,0,0
"271","Male","Nova Scotia","Highschool",65,"Conservative Party","61-80",0,1,0
"272","Female","Ontario","Bachelor's Degree",86,"Liberal Party","81+",1,0,0
"273","Male","Ontario","Bachelor's Degree",73,"Liberal Party","61-80",1,0,0
"274","Female","Ontario","Highschool",72,"Conservative Party","61-80",0,1,0
"275","Male","Quebec","Bachelor's Degree",54,"Green Party","41-60",0,0,0
"276","Male","Prince Edward Island","Above Bachelor's",61,"Liberal Party","61-80",1,0,0
"277","Male","Ontario","Above Bachelor's",44,"Other Party","41-60",0,0,0
"278","Male","Quebec","Bachelor's Degree",40,"Other Party","21-40",0,0,0
"279","Male","New Brunswick","College",56,"Other Party","41-60",0,0,0
"280","Female","New Brunswick","College",34,"Other Party","21-40",0,0,0
"281","Male","Ontario","College",59,"Other Party","41-60",0,0,0
"282","Female","Ontario","College",57,"Conservative Party","41-60",0,1,0
"283","Male","Newfoundland and Labrador","Highschool",31,"Liberal Party","21-40",1,0,0
"284","Male","Ontario","Bachelor's Degree",59,"NDP","41-60",0,0,1
"285","Female","Ontario","Bachelor's Degree",63,"Liberal Party","61-80",1,0,0
"286","Male","Ontario","Highschool",61,"Green Party","61-80",0,0,0
"287","Female","Ontario","Highschool",54,"Other Party","41-60",0,0,0
"288","Male","Ontario","Highschool",67,"Other Party","61-80",0,0,0
"289","Male","Ontario","Highschool",72,"Liberal Party","61-80",1,0,0
"290","Male","Ontario","Highschool",53,"Conservative Party","41-60",0,1,0
"291","Male","Quebec","College",30,"Bloc Quebecois","21-40",0,0,0
"292","Male","Alberta","Bachelor's Degree",23,"Conservative Party","21-40",0,1,0
"293","Male","Newfoundland and Labrador","Bachelor's Degree",59,"Liberal Party","41-60",1,0,0
"294","Female","Quebec","College",60,"Other Party","41-60",0,0,0
"295","Male","Ontario","Less than highschool",73,"Liberal Party","61-80",1,0,0
"296","Female","Quebec","Bachelor's Degree",59,"Other Party","41-60",0,0,0
"297","Female","Quebec","Bachelor's Degree",69,"Liberal Party","61-80",1,0,0
"298","Female","Ontario","Bachelor's Degree",83,"Green Party","81+",0,0,0
"299","Female","Quebec","Bachelor's Degree",57,"Liberal Party","41-60",1,0,0
"300","Male","Quebec","Bachelor's Degree",58,"Bloc Quebecois","41-60",0,0,0
"301","Female","Ontario","Above Bachelor's",50,"Liberal Party","41-60",1,0,0
"302","Female","Newfoundland and Labrador","Highschool",73,"Conservative Party","61-80",0,1,0
"303","Female","Quebec","Bachelor's Degree",37,"Other Party","21-40",0,0,0
"304","Female","Quebec","Highschool",52,"Conservative Party","41-60",0,1,0
"305","Male","Nova Scotia","Highschool",79,"Conservative Party","61-80",0,1,0
"306","Female","Ontario","Bachelor's Degree",70,"Liberal Party","61-80",1,0,0
"307","Female","Ontario","Above Bachelor's",99,"Liberal Party","81+",1,0,0
"308","Male","Quebec","Highschool",65,"Conservative Party","61-80",0,1,0
"309","Female","New Brunswick","College",64,"Conservative Party","61-80",0,1,0
"310","Female","Ontario","College",72,"Green Party","61-80",0,0,0
"311","Female","Quebec","Bachelor's Degree",39,"Liberal Party","21-40",1,0,0
"312","Male","Ontario","Above Bachelor's",73,"Other Party","61-80",0,0,0
"313","Male","Alberta","College",35,"Conservative Party","21-40",0,1,0
"314","Male","Ontario","Bachelor's Degree",67,"Liberal Party","61-80",1,0,0
"315","Female","Ontario","Bachelor's Degree",69,"Conservative Party","61-80",0,1,0
"316","Female","Ontario","Highschool",61,"Liberal Party","61-80",1,0,0
"317","Female","Ontario","Bachelor's Degree",49,"Other Party","41-60",0,0,0
"318","Female","Ontario","Bachelor's Degree",56,"Conservative Party","41-60",0,1,0
"319","Female","Ontario","Bachelor's Degree",32,"Liberal Party","21-40",1,0,0
"320","Male","Alberta","Less than highschool",20,"Green Party","0-20",0,0,0
"321","Male","Ontario","College",63,"Liberal Party","61-80",1,0,0
"322","Female","Quebec","College",75,"Bloc Quebecois","61-80",0,0,0
"323","Female","Quebec","Bachelor's Degree",58,"Green Party","41-60",0,0,0
"324","Female","Ontario","College",76,"Conservative Party","61-80",0,1,0
"325","Female","Quebec","Bachelor's Degree",49,"Other Party","41-60",0,0,0
"326","Female","Quebec","Bachelor's Degree",59,"Liberal Party","41-60",1,0,0
"327","Female","Quebec","Highschool",60,"Conservative Party","41-60",0,1,0
"328","Female","Quebec","Highschool",56,"Liberal Party","41-60",1,0,0
"329","Female","Ontario","Bachelor's Degree",61,"Liberal Party","61-80",1,0,0
"330","Female","Ontario","Above Bachelor's",61,"Other Party","61-80",0,0,0
"331","Female","Ontario","Above Bachelor's",61,"Liberal Party","61-80",1,0,0
"332","Female","Ontario","Highschool",68,"Liberal Party","61-80",1,0,0
"333","Male","Quebec","College",62,"Other Party","61-80",0,0,0
"334","Male","Ontario","College",39,"Conservative Party","21-40",0,1,0
"335","Female","Quebec","Highschool",38,"Conservative Party","21-40",0,1,0
"336","Female","Quebec","College",45,"Conservative Party","41-60",0,1,0
"337","Female","New Brunswick","College",50,"Liberal Party","41-60",1,0,0
"338","Male","Newfoundland and Labrador","Highschool",71,"Liberal Party","61-80",1,0,0
"339","Male","Quebec","Above Bachelor's",45,"Green Party","41-60",0,0,0
"340","Female","Quebec","Above Bachelor's",70,"Green Party","61-80",0,0,0
"341","Male","Ontario","Bachelor's Degree",49,"Liberal Party","41-60",1,0,0
"342","Male","Ontario","Bachelor's Degree",49,"Green Party","41-60",0,0,0
"343","Female","Ontario","Bachelor's Degree",54,"Conservative Party","41-60",0,1,0
"344","Female","Quebec","Highschool",51,"Conservative Party","41-60",0,1,0
"345","Female","Ontario","College",61,"Liberal Party","61-80",1,0,0
"346","Male","Ontario","Bachelor's Degree",56,"Conservative Party","41-60",0,1,0
"347","Female","Quebec","College",53,"Other Party","41-60",0,0,0
"348","Male","Ontario","College",51,"Other Party","41-60",0,0,0
"349","Female","Ontario","Bachelor's Degree",56,"Other Party","41-60",0,0,0
"350","Male","Ontario","College",64,"Liberal Party","61-80",1,0,0
"351","Female","Ontario","Bachelor's Degree",47,"Other Party","41-60",0,0,0
"352","Female","Ontario","College",44,"Liberal Party","41-60",1,0,0
"353","Male","British Columbia","Highschool",52,"Conservative Party","41-60",0,1,0
"354","Male","Ontario","College",65,"NDP","61-80",0,0,1
"355","Female","Ontario","College",48,"Liberal Party","41-60",1,0,0
"356","Male","Quebec","College",57,"Conservative Party","41-60",0,1,0
"357","Male","Quebec","Above Bachelor's",53,"Liberal Party","41-60",1,0,0
"358","Male","Ontario","College",47,"NDP","41-60",0,0,1
"359","Female","Ontario","Highschool",82,"Conservative Party","81+",0,1,0
"360","Female","Ontario","Bachelor's Degree",54,"NDP","41-60",0,0,1
"361","Female","Newfoundland and Labrador","Above Bachelor's",50,"Liberal Party","41-60",1,0,0
"362","Female","Ontario","Bachelor's Degree",52,"Other Party","41-60",0,0,0
"363","Female","Quebec","Bachelor's Degree",21,"Other Party","21-40",0,0,0
"364","Female","Ontario","Highschool",70,"NDP","61-80",0,0,1
"365","Female","Quebec","College",58,"Liberal Party","41-60",1,0,0
"366","Male","Ontario","Above Bachelor's",60,"Green Party","41-60",0,0,0
"367","Male","Nova Scotia","Above Bachelor's",25,"Liberal Party","21-40",1,0,0
"368","Male","Quebec","Bachelor's Degree",58,"Other Party","41-60",0,0,0
